Web Development,Database Management,Networking,Programming,Proficiency_Level
58,45,97,57,Intermediate
81,62,61,66,Intermediate
51,56,49,54,Beginner
56,49,41,35,Beginner
76,64,67,55,Intermediate
62,90,88,85,Advanced
67,61,67,61,Intermediate
50,55,86,55,Intermediate
59,56,52,55,Beginner
33,53,58,37,Beginner
63,63,54,65,Intermediate
40,32,54,40,Beginner
34,80,84,54,Intermediate
57,72,79,56,Intermediate
60,36,36,93,Beginner
76,55,72,74,Intermediate
56,40,53,52,Beginner
59,49,38,45,Beginner
96,79,85,77,Advanced
68,50,67,69,Intermediate
44,52,39,49,Beginner
93,95,91,83,Advanced
78,66,52,54,Intermediate
90,90,83,78,Advanced
92,61,77,84,Intermediate
37,47,58,60,Beginner
87,58,92,90,Advanced
83,32,91,64,Intermediate
73,57,75,85,Intermediate
44,30,39,36,Beginner
84,95,78,80,Advanced
97,84,100,82,Advanced
56,100,87,34,Intermediate
94,77,94,92,Advanced
77,83,92,92,Advanced
99,85,89,87,Advanced
88,83,79,88,Advanced
62,37,57,78,Beginner
48,55,43,54,Beginner
35,50,56,44,Beginner
64,97,71,48,Intermediate
70,76,65,55,Intermediate
93,35,95,45,Intermediate
88,87,100,99,Advanced
60,84,61,77,Intermediate
80,63,45,79,Intermediate
68,74,67,85,Intermediate
65,77,58,58,Intermediate
77,99,88,77,Advanced
60,78,71,37,Intermediate
70,74,82,73,Intermediate
98,98,95,89,Advanced
98,86,81,32,Intermediate
78,75,82,77,Intermediate
94,89,76,90,Advanced
37,44,46,52,Beginner
90,92,84,83,Advanced
39,56,54,35,Beginner
100,100,72,79,Advanced
60,38,32,42,Beginner
39,79,99,57,Intermediate
54,84,50,65,Intermediate
33,86,37,30,Beginner
94,80,91,78,Advanced
67,36,42,90,Beginner
91,95,90,87,Advanced
72,56,79,69,Intermediate
32,31,50,42,Beginner
93,91,99,83,Advanced
87,82,79,80,Advanced
43,43,36,32,Beginner
61,47,61,83,Intermediate
81,71,53,73,Intermediate
99,75,85,99,Advanced
87,84,92,92,Advanced
47,33,60,45,Beginner
68,76,79,73,Intermediate
72,63,45,47,Beginner
89,90,86,77,Advanced
75,61,52,62,Intermediate
91,93,81,94,Advanced
82,95,52,84,Intermediate
76,75,84,80,Intermediate
36,57,58,58,Beginner
80,83,56,83,Intermediate
78,86,77,88,Advanced
83,82,58,81,Intermediate
89,97,30,52,Intermediate
57,60,44,33,Beginner
52,69,62,63,Intermediate
100,83,92,94,Advanced
82,89,81,94,Advanced
50,51,45,36,Beginner
45,38,42,49,Beginner
57,57,39,60,Beginner
52,84,73,43,Intermediate
78,95,79,94,Advanced
83,98,78,91,Advanced
54,45,33,41,Beginner
31,46,37,60,Beginner
67,60,96,94,Intermediate
57,79,46,77,Intermediate
55,83,55,64,Intermediate
75,62,65,99,Intermediate
75,82,53,83,Intermediate
56,65,70,64,Intermediate
78,54,84,96,Intermediate
53,74,52,92,Intermediate
86,92,81,85,Advanced
33,41,73,100,Intermediate
57,66,74,57,Intermediate
94,47,67,86,Intermediate
60,80,84,53,Intermediate
47,36,45,32,Beginner
55,56,45,44,Beginner
84,88,99,87,Advanced
33,43,48,57,Beginner
91,96,78,89,Advanced
41,56,42,35,Beginner
64,86,65,32,Intermediate
51,40,52,40,Beginner
63,96,35,61,Intermediate
55,54,51,64,Beginner
96,93,94,90,Advanced
93,68,43,82,Intermediate
89,77,59,73,Intermediate
93,90,65,64,Intermediate
87,49,85,66,Intermediate
34,37,41,45,Beginner
79,80,96,83,Advanced
42,60,74,59,Beginner
83,35,76,92,Intermediate
85,76,96,79,Advanced
78,59,83,84,Intermediate
78,87,77,77,Intermediate
83,81,64,74,Intermediate
87,38,91,69,Intermediate
92,97,94,81,Advanced
33,37,50,34,Beginner
70,71,69,50,Intermediate
86,87,57,35,Intermediate
76,82,88,87,Advanced
66,59,83,81,Intermediate
71,69,81,32,Intermediate
77,75,94,76,Advanced
44,46,35,41,Beginner
78,99,91,75,Advanced
80,92,93,82,Advanced
44,54,92,43,Beginner
82,71,69,70,Intermediate
44,57,50,84,Beginner
51,37,49,32,Beginner
48,60,33,59,Beginner
62,55,69,76,Intermediate
35,45,50,53,Beginner
89,82,86,86,Advanced
96,76,39,38,Intermediate
50,59,35,44,Beginner
64,83,83,78,Intermediate
61,81,60,56,Intermediate
33,41,40,55,Beginner
72,80,48,40,Intermediate
55,36,54,43,Beginner
78,96,85,82,Advanced
75,83,81,80,Intermediate
91,94,75,89,Advanced
93,34,31,47,Beginner
49,42,46,44,Beginner
50,74,40,74,Beginner
75,84,69,68,Intermediate
94,75,81,80,Advanced
90,96,91,78,Advanced
73,69,60,54,Intermediate
87,88,75,100,Advanced
63,75,81,72,Intermediate
47,46,60,56,Beginner
78,61,44,66,Intermediate
48,42,55,57,Beginner
57,54,79,69,Intermediate
87,53,38,36,Beginner
56,42,35,59,Beginner
95,83,91,92,Advanced
90,80,87,89,Advanced
97,79,83,84,Advanced
77,61,57,61,Intermediate
30,33,40,31,Beginner
84,93,93,85,Advanced
100,36,85,90,Intermediate
61,83,51,68,Intermediate
87,76,85,96,Advanced
75,40,32,79,Beginner
31,46,59,50,Beginner
96,75,88,77,Advanced
97,91,89,78,Advanced
78,67,54,64,Intermediate
35,42,60,31,Beginner
74,94,85,44,Intermediate
47,62,78,92,Intermediate
79,88,92,85,Advanced
65,72,51,74,Intermediate
